"","Country","Compartment","RQ_min","RQ_Q5","RQ_median","RQ_mean","RQ_Q95","RQ_max"
"5%66","Norway","Freshwater",1.74863096253206e-08,3.23710720632555e-08,5.56564174340491e-08,8.32231096882845e-08,2.51283865062213e-07,4.71048590840618e-07
"5%67","Norway","Sediment",0.000265316066456895,0.000461336055072465,0.000730984081636812,0.00110069671879367,0.0032633810373636,0.00525659369884897
"5%68","Norway","Soil",0.00158229258171793,0.00367861376211347,0.00656938521712385,0.00630932712812513,0.00775388860946293,0.00938673551627281
"5%69","Poland","Freshwater",7.68268111199772e-07,1.50980805102275e-06,2.57054349209302e-06,3.55682111953639e-06,9.86315053696754e-06,1.84707517775278e-05
"5%70","Poland","Sediment",0.0118809424546421,0.0214450859244237,0.0338662788964908,0.0471407471846231,0.128778772136627,0.223094367498624
"5%71","Poland","Soil",0.0024382667748846,0.00669917183030605,0.0123941535569747,0.0121635508872195,0.0165238120151623,0.0222877609436795
"5%72","Portugal","Freshwater",2.64688595734706e-06,4.97545494077671e-06,9.05025941991283e-06,1.49135245813949e-05,4.94658852610732e-05,9.0920364733615e-05
"5%73","Portugal","Sediment",0.0417899657693211,0.070595164420259,0.119860749222454,0.197888819141216,0.641174218122333,1.06343942791676
"5%74","Portugal","Soil",0.0110498731617706,0.024605490530672,0.0445053760276312,0.0429814875812897,0.0542910161344178,0.0696231095828429
"5%75","Romania","Freshwater",5.78157408725056e-07,1.08960558360749e-06,1.73787724715691e-06,1.98540812793561e-06,3.96078789219876e-06,7.67155090364618e-06
"5%76","Romania","Sediment",0.00932113474381202,0.0155819704925707,0.0230182546711254,0.0262736671187375,0.0518033039658451,0.0883945829491273
"5%77","Romania","Soil",0.00134798714908914,0.0043492483262729,0.00869492810780835,0.00892480370898831,0.0142627703379733,0.0234487877858435
"5%78","Slovakia","Freshwater",1.29189790073914e-06,2.47800069410997e-06,4.10952275233824e-06,5.28294879122646e-06,1.32453194753014e-05,2.50012530433533e-05
"5%79","Slovakia","Sediment",0.021261541932009,0.0352867554915466,0.0540126268993672,0.0700608246385176,0.173900314331065,0.281364711241482
"5%80","Slovakia","Soil",0.00414212167752559,0.0110536234113907,0.0203938724420396,0.0199863766231306,0.0269707281212628,0.0390097549661575
"5%81","Slovenia","Freshwater",4.66116690839165e-06,8.58383217543839e-06,1.35528496163325e-05,1.65905331326932e-05,3.79805765285131e-05,6.79331820267607e-05
"5%82","Slovenia","Sediment",0.0682847619982819,0.123148330108653,0.178206403471142,0.220142365840019,0.496988988716596,0.792706423347649
"5%83","Slovenia","Soil",0.00142201032590974,0.0054021444035257,0.0108293204569041,0.0112533039738757,0.0185123757102977,0.0354573705108111
"5%84","Spain","Freshwater",2.17514516974078e-06,4.03478444305663e-06,7.16052860549951e-06,1.14023024910418e-05,3.66945616617859e-05,6.75004990157951e-05
"5%85","Spain","Sediment",0.0312898522207407,0.0570967829957204,0.093836913113349,0.15117175941154,0.477649083494089,0.78576636084797
"5%86","Spain","Soil",0.00673510993945118,0.0149867860841409,0.0269077310337324,0.025865463674475,0.0319525899855883,0.0389591631212104
